678: 1006,143,263,257,84,249
679: 706,469,1203,25,219,385
680: 1146,211,604,1220,1025
681: 689,1154,556,1139,1064,1028
682: 884,841,1146,196,237,1216
683: 131,954,1183,227,36,843
684: 723,901,1103,509,891,252,1010
685: 360,939,355,834,1230,666
686: 634,297,794,1190,55,1018
1210: 439,618,192,30,152,312,727
688: 782,316,264,701,431,495
689: 681,556,1028,47,268,944
690: 803,447,1243,134,649,435,663
691: 1150,1075,923,434,1172,191
692: 1093,115,1069,974,1112,1072
693: 614,92,1073,1117,127,139,973
694: 993,345,68,1055,1209,773
695: 493,963,793,203,1225,384,187
696: 451,938,550,1060,87,1034
697: 578,989,52,806,69,728
1188: 305,1248,1131,133,385,293
699: 629,747,582,555
700: 815,147,575,452,780
701: 688,264,451,158,640,431
702: 361,913,304,351,526,354
1241: 219,385,293,963,166
704: 248,862,664,157
705: 674,325,658,479,329,1054
706: 459,679,469,28,1203,633
707: 1182,1159,132
708: 415,367,886,787
709: 732,267,228,1007,631,1187
710: 121,1240,1149,1233,800,929
711: 605,603,745,96,416,383
712: 548,1204,315,968,4
713: 759,263,58,641,628
714: 339,671,1053,1248,1131
715: 1082,416,468,1089,576
716: 172,856,167,329,6,377
717: 352,1065,1033,840,1128,208
718: 179,323,869,990,209,276
719: 216,626,726,885,673,744
720: 904,628,1189,198,131
721: 274,353,234,429,1224
1184: 1095,827,173,1106,959,1151
723: 684,901,146,675,1010,45,840
724: 104,950,461,353,2
725: 983,804,142,140,1229,343
726: 117,937,885,826,744,719
727: 31,152,312,1210,917,30
728: 243,129,52,697,578,168
729: 116,113,1018,295,376,620
730: 1207,436,7,337,900,572
731: 1176,554,478,1048,1087
732: 267,709,1025,484,619
733: 456,514,755,1145,164
734: 613,69,820,1084,989,155
735: 339,227,843,564,236,758
736: 16,38,842,899,585,567
1183: 1017,844,942,954,683
738: 543,893,969,1088,1217,54
1227: 205,653,212,283,948,389
740: 336,1124,1078,24,1001,253,1085
741: 473,662,863,1237
742: 633,642,1050,504,28
743: 1033,45,1194,474,1002
744: 659,673,726,937,719
745: 711,603,642,416,468
746: 563,581,425,183
747: 629,699,27,1220,555,884
