491: 855,976,200,772
492: 608,511,951,290,344
493: 203,695,963,93,166,1218
494: 450,61,281,861,982,1068
495: 1058,1159,1135,316,65,575
496: 58,641,341,0,408,540
497: 648,168,578,755,456,1063
498: 753,1214,86,677,836,375
499: 1040,207,427,894,349,159
500: 141,1042,703,432,1134
501: 356,832,49,1098,238,310,992
502: 482,580,703,1137
503: 889,875,185,154
504: 603,633,706,1041,85,3,75
505: 472,404,322,1143
506: 412,979,704,862,282,369
507: 194,333,534,454,644,463
508: 460,798,573,627,214,222
509: 723,146,840,371,821,891,45,1010
510: 521,818,616,462,945,1004
511: 608,492,667,344,103,586
512: 37,1184,1068,1037,381,783
513: 865,481,1106,878,255,759
514: 426,1191,1075,258,298,35
515: 346,1126,1062,175,1016,89
516: 898,891,123,10,207,169
517: 810,632,1047,224,24,643,568
518: 420,561,973,1117,92,1173
519: 1134,432,244,324,71,223,449
520: 112,458,165,261,831,178
521: 818,510,616,1166,819,975
522: 1128,130,1078,740,208,1001,128
523: 672,1173,364,1117,846,395
524: 669,612,969,625,1070,108
525: 698,849,1107,971,1078,740
526: 212,617,968,702,913,4
527: 247,149,773,1049,936,1185
528: 1022,1003,246,738,669,969
529: 464,981,11,102,609,940
530: 871,857,114,750,928,241
531: 43,271,902,338,291,958
532: 992,331,403,1090,394
533: 731,478
534: 507,194,1012,454,347,918,1024,896
535: 196,185,237,886
536: 418,539,138,937,656,659
537: 1104,748,107,1009
538: 824,951,162,988,837,419
539: 418,771,536,138
540: 1189,1023,0,558,641,496
541: 1140,652,43,946,136
542: 288,1090,674,705,394
543: 738,893,9,54,1217,625,969
544: 724,104,950,240,912,1097
545: 880,239,618,765,768,120
546: 179,852,323,1039,869,718
547: 90,176,91,756,373,191,654,923
548: 4,1204,617,363,98,213
549: 599,122,20,299
550: 936,225,1185,1110,696,938
551: 870,457,1071,285,1015
552: 868,977,687,1147,336,128,910
553: 809,1122,571,142,983,925
554: 1087,328,1176,412,94
555: 884,841,699
556: 1154,406,1064,1035,944,417
557: 274,52,461,721,353,724,2
558: 357,1219,0,1000,1023,540
559: 807,833,782,981,11,181
560: 267,1025,784,228,672,296
561: 420,518,973,245,631,82
562: 871,875,750,154,306
563: 746,183,425,1127,307,1061
564: 1006,904,622,131,735
565: 438,892,273,471
566: 162,988,172,6,21,106
567: 368,585,899,251,978,736
568: 24,643,517,233,224,73,971
569: 853,1096,373,12,722,749,101,221
570: 421,422,72,409,486
571: 553,809,80,34,925
572: 315,968,730,900,913,361
573: 508,460,1014,222,810,767
574: 278,374,268,83,944,47
575: 688,431,452,1135,495,1159
576: 1207,416,1082,96,279,383
577: 624,610,1034,311
578: 755,243,728,69,497,168
579: 816,57,1101,991,1044,204
580: 482,703,502,764,432,324,1015
581: 1114,1127,746
582: 646,1158,629
583: 134,1155,598,873,435
584: 206,754,463,333,867,1066,909
585: 368,567,736,38
586: 358,103,348,608,511,1214
587: 442,715,1019,730,337,361
588: 781,262,81,301,602
589: 340,1164,440,751,597
590: 8,18,411,874,653,792
591: 595,1028,698,1147,336
592: 760,957,465,199,1051
593: 330,118,439,1024,126,917
594: 850,704,177,248,157,359
595: 83,591,689,1028,1147,268
596: 855,1168,1174
597: 1219,589,440,260,751,0
598: 831,873,1155,583,165
599: 122,885,826,549
600: 364,197,1175,676,919,395
601: 997,787,964,367,895
602: 81,421,409,262,588
603: 504,1041,3,745,75,642
604: 296,32,747,27,1025,680
605: 441,915,64,488,711,96
606: 124,95,984,1022,246,790
607: 215,663,690,435,217,167
608: 511,492,951,586,1214,677,837
609: 908,19,940,762,529,11
610: 147,640,1034,700,577,624
611: 384,1050,109,469,48
612: 669,524,63,393,108,888
613: 402,728,697,1172,989
614: 1117,846,725,804,1129,1120
615: 664,486,860,1036,105,453
616: 521,510,1166,941,996,462
617: 212,283,526,548,4,213
618: 1052,347,765,545,918,768
619: 484,1029,732,1025,211
620: 55,686,634,1160,866,1018
621: 485,1166,941,171,245,82
622: 904,84,678,1006,249,564
623: 905,651,710
624: 577,610,700,815
625: 410,1217,543,524,969,1070
626: 950,144,216,240,719,673
627: 974,214,1112,180,508,798
628: 84,720,641,713,1189,263
629: 699,747,27,582
630: 991,1144,883,1020,1044,1108
631: 709,1007,82,228,420,561
632: 1047,517,466,675,352,643
633: 504,706,1041,459,109,469
634: 686,204,620,1101,1018,1190
635: 376,1121,483,1182,332
636: 313,474,294,433,1194,485,1166,975
637: 647,254,961,956,805,1140
638: 933,1115,639,1156,685,1092,1180
639: 1099,1162,355,1156,638,933
640: 147,87,610,701,688,431,700
641: 58,496,713,1189,540,628
642: 742,745,603,1041,416,468
643: 24,1124,568,632,517,352
644: 206,463,1004,818,454,507
645: 1065,717,352,901,675,146
646: 1158,582,280,932
647: 637,254,857,386,956,1195
648: 380,497,168,456,1027,733
649: 163,803,1088,1127,134,307
650: 5,256,320
651: 926,905,623,473
652: 1055,1140,541,229,136,655
653: 792,205,8,590,1089,948
654: 1016,923,191,547,756
655: 136,652,229,864
656: 1141,418,536,801,659
657: 742,160,1207,468,337,715
658: 813,887,1070,479,325,1054
659: 744,788,536,937,656,1141
660: 1142,1067,403,182,1161,1123
661: 1171,931,789,210,272,1102
662: 363,396,776,289,752,1091
663: 215,690,607,447,813,887
664: 409,615,486,262,248,453,177
665: 438,892,183,425
666: 834,685,1098,270,1092
667: 178,344,458,103,511
668: 154,306,415,367,189,895
669: 524,612,969,528,246,63
670: 265,133,385,293
671: 133,714,835
672: 228,1173,523,784,395,560
673: 719,744,788,626,240,912,489
674: 329,705,542,21,1011,394
675: 466,1031,901,632,645,352
676: 170,919,932,600,1175,1158
677: 837,858,608,498,1214,375
678: 59,263,84,622,847,249
679: 459,469,219,1203,25,305,1188
680: 1146,747,604,682,884
681: 1154,372,1139,1032,689,1028
682: 884,841,1216,1146,680,1179
683: 843,1021,1183,36,227
684: 901,252,1103,10,891,723,370,146
685: 1156,834,666,638,1092
686: 297,55,204,620,634
687: 552,977,336,128
688: 431,575,701,264,1135,640
689: 83,595,1028,681,1154,944
