1245: 662,396,776,289,1237
1199: 444,1108,406,417,1144
374: 727,19,940,192,224,1147,278
375: 251,302,498,677,858,836
376: 635,729,866,33,483,226
377: 716,167,430,344,6,290
378: 707,483,1121,1159
379: 277,387,400,411,874
380: 61,1258,755,168,648,281
381: 70,266,783,811,959
382: 286,999,453,157,506,1211
383: 279,448,406,64,416,1082
384: 1225,1270,109,74,793,695
385: 219,293,305,1188,25
386: 1231,795,871,530,241,647
387: 259,379,400,148,851
388: 460,974,1047,423,1031,466
389: 651,948,1271,838,926,1227
1258: 61,380,982,494,281,450
391: 281,839,173,450,1037,401
392: 332,635,295,111
393: 854,779,63,612,888
394: 21,106,1250,532,403,660
395: 600,919,560,672,784,32
396: 662,1245,98,213,363
397: 1040,10,449,207,407,139
398: 356,1116,1054,446,1094
399: 78,851,1267
400: 277,259,379,387,145
401: 230,959,1037,391,173,955,470
402: 1235,578,906,61,982,335
403: 182,1259,106,394,660,987
404: 1193,1080,997
1135: 740,439,433,768,1024
406: 279,383,1082,444,1199
407: 1007,139,1029,10,397
408: 751,1164,0,266,119,496
409: 1036,860,486,421,262
410: 1251,1217,163,1243,1236
411: 318,304,277,379,792,874
412: 94,282,850,328,554
413: 568,908,971,188,1190,762,794
1239: 154,668,185,1276,503,415
415: 367,708,886,185,668,1239
416: 64,576,1082,1089,383,468
417: 233,1144,525,1199
418: 539,138,536,124,656,829
419: 824,538,951,837,858
1294: 871,530,562,875,750
421: 308,602,135,486,409,262
422: 365,72,570,1266
423: 1103,901,1079,974,388,1031
424: 484,619,100,29,114,1262
425: 134,273,563,746,1111,649
426: 1278,514,1300,456,298,1277
1304: 1168,1028,56,1059,915
1226: 478,922,1232,1048
429: 914,234,144,475,353,721
430: 178,326,667,167,377,344
431: 700,575,451,688,701,624
432: 449,519,1274,210,244,223
433: 545,1066,840,768,1135,740
434: 1097,191,1145,17
435: 690,649,134,583,663,607
436: 730,1207,444,1044,900
437: 1138,107,1009,537,748
438: 134,273,471,1061,598,583
439: 1135,740,1147,126,917
440: 1170,340,589,597,260
1242: 673,1141,1284,240,912,639
442: 7,587,160,220,361,351
1189: 641,540,1023,156,198,720
444: 1199,1108,1044,406,1082,436
445: 859,881,852,994
446: 41,1094,398,49,551,285
447: 663,813,690,1243,887,1236
448: 487,279,383,1020,96,64
449: 519,693,432,223,207,139,397
450: 391,281,839,1258,494
451: 696,938,701,624,87,431
452: 700,575,132,1121,1159,1182
453: 906,1260,506,1211,335,382
454: 206,584,463,507,534,1167
455: 1149,78,1240,1228
456: 426,557,243,274,1277
457: 1123,115,1246,67
458: 112,178,667,103,44
459: 469,706,1287,633,48,1225
460: 91,1133,388,1096,1047,466
461: 721,557,724,353,2,1300
462: 510,616,996,965,945
463: 206,454,510,818,534
1165: 1149,929
1248: 305,758,714,1188,339
466: 767,1031,91,460,388,810
467: 69,613,1136,153,1104,806
468: 657,715,1089,642,416,576
469: 459,706,25,219,1225,793
470: 955,986,17,1037,401
471: 1155,665,438,273,1061,1263
472: 1192,1193,505,1143
473: 741,863,926,905
1262: 928,424,965,29,114
475: 216,144,122,20,914,429
476: 1203,85,236,872,758
477: 117,937,138,536
478: 1226,922,301,1048,1176,731
479: 658,887,1236,625,882
480: 949,76,362,150,902,125
481: 53,865,759
482: 1105,1295,88,1120,1137,1161,1171
483: 1291,226,635,376,707,378
484: 619,424,100,1025,732,211
1161: 1057,71,1171,482,1137,1015
