444: 1207,436,1082,1108
445: 859,852,979,994
446: 356,49,501,1283,1094
447: 215,663,1243,887,813
448: 487,279,1,1020,96,383
449: 223,627,1134,139,432,397
450: 391,839,380,494,281
451: 696,938,624,87,431
452: 700,575,132,1121,1159,1182
453: 906,1260,664,506,1211,335,382
454: 507,333,206,463,584,1167
455: 78,1228,1149
456: 426,1300,557,243,274,1277
457: 115,1290,1246,67,692
458: 112,178,103,44,667
459: 469,706,1287,633,48,1225
460: 91,1133,1096,1047,466,388
461: 721,557,724,353,2,1300
462: 510,616,996,965,945
463: 206,510,818,507,454
1165: 1149
1248: 305,758,714,385,1188,339
466: 767,1031,388,91,460,810
467: 69,613,1136,153,806,1104
468: 657,715,642,416,576
469: 459,706,25,219,1225,793
470: 1037,955,986,401
471: 1155,665,438,273,1061,1263
472: 1192,505,322,1143
473: 741,863,926,905
1262: 928,424,965,29,114
475: 216,144,122,20,914,429
476: 843,564,872,735,1307,758
477: 117,937,138,536
478: 1226,922,1306,301
479: 658,887,1236,625,250,882
480: 150,902,949,76,362,125
1305: 65,529,940,316,782
482: 931,661,1105,1120,88,1137
483: 226,635,376,378,1313
484: 619,424,100,732,1025,1308
1161: 1171,71,1120,1137,1015
486: 135,570,1266,421,1036,409
487: 279,448,1,525,1198,1199
488: 760,757,1050,1059,605,603
1236: 887,479,1243,1251,410,625
1216: 680,682,196,503,1146
1224: 129,274,234,52,966,721
492: 344,951
493: 1275,166,695,963,93
494: 137,1258,982,839,450,37
495: 688,316,65,575,1291
496: 58,878,408,0,513,759
1181: 1280,554,1087,94
498: 753,1214,677,836,86,375
1187: 941,1029,10,621
1155: 471,665,1272,1263
501: 1273,1283,1286,814,446,1290
1219: 597,260,558,357,1000,1023
503: 1276,1216,196,185,1239
504: 3,85,15,1050,28,742,633
505: 1193,404,1080,322,472
506: 157,1039,453,1260,664,382
507: 454,333,819,534,818,644,463
508: 675,146,645,632,214,1066
509: 1040,10,1010,1008,621,684
510: 462,616,818,463
511: 344,667,103,586,608
512: 37,811,1119,1288,783
513: 303,496,53,897,865,759
514: 426,1278,298,35,1302
